"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
241770,"Sunny & cosy 100 sqm flat down Montmartre",1269128,"Siriac",NA,"Entrepôt",48.88361,2.34992,"Entire home/apt",125,3,37,"1561305600",0.44,1,10
242486,"Appartement duplex avec terrasse",1264200,"Valérie",NA,"Bourse",48.86923,2.35238,"Entire home/apt",98,2,8,"1502553600",0.16,2,0
243040,"Apart Hotel / Paris Opera Madeleine",1275649,"Gwenael",NA,"Élysée",48.87252,2.32433,"Entire home/apt",125,4,57,"1550851200",0.61,2,0
243738,"Spacious 3 bdr near Canal St Martin",804192,"Stephanie",NA,"Entrepôt",48.87148,2.37028,"Entire home/apt",95,5,6,"1471276800",0.12,2,31
243961,"Beautifull loft - Grands Boulevards",1280100,"Olivier  Et Elisa",NA,"Entrepôt",48.87338,2.35094,"Entire home/apt",100,4,118,"1561392000",1.52,1,13
245027,"cozy and welcoming  studio apart",1285443,"Nicolas",NA,"Ménilmontant",48.84837,2.40296,"Entire home/apt",73,5,13,"1549555200",0.15,1,191
245715,"Apart Hotel, Paris Champs Elysee",1275649,"Gwenael",NA,"Passy",48.86457,2.30115,"Entire home/apt",143,4,38,"1558800000",0.62,2,0
245981,"Amazing APT, 5 min from Le Marais",1290079,"Edwin De",NA,"Popincourt",48.86758,2.37069,"Entire home/apt",120,4,30,"1509811200",0.34,1,250
246647,"charming duplex",1293609,"Gilles",NA,"Reuilly",48.84899,2.37928,"Entire home/apt",200,7,5,"1528819200",0.06,1,34
246667,"Quintessentially Parisian Studio",349484,"Matthieu",NA,"Ménilmontant",48.87323,2.4045,"Entire home/apt",59,4,58,"1556380800",0.66,1,262
247728,"Apartment Republic Canal St Martin",1298369,"Delphine & Guillaume",NA,"Popincourt",48.86857,2.36975,"Entire home/apt",80,4,49,"1559404800",0.52,2,2
247764,"appartment next to canal st martin",1298530,"Laure",NA,"Entrepôt",48.87457,2.36063,"Entire home/apt",80,3,26,"1561737600",0.28,1,297
249304,"Bright 5th flr aptmnt near Voltaire + Bastille",1306131,"James",NA,"Popincourt",48.86,2.37921,"Entire home/apt",45,7,0,"",NA,1,0
250378,"Kids Welcome Apartment """"Le Marais""""",1312192,"Laetitia",NA,"Temple",48.85969,2.36487,"Entire home/apt",170,2,25,"1560096000",0.27,1,206
252049,"Grand appartement, 2 chambres, 2 salles de bain",1322340,"Mireille",NA,"Popincourt",48.85412,2.37444,"Entire home/apt",150,6,33,"1562083200",0.9,1,67
252095,"2-room apt Buttes-Chaumont 436 P²",624794,"Laurent",NA,"Buttes-Chaumont",48.88229,2.38025,"Entire home/apt",98,2,26,"1537027200",0.29,1,0
252525,"charming bedroom near  metro OPERA",1164453,"Antonella",NA,"Louvre",48.86673,2.33517,"Private room",55,1,387,"1562601600",4.39,1,13
253877,"Montmartre Moulin Rouge Constance",1333366,"Alain",NA,"Buttes-Montmartre",48.88593,2.33382,"Entire home/apt",59,3,151,"1559923200",1.64,1,212
254042,"beautiful room whit privat bathroom",1334325,"Mika",NA,"Entrepôt",48.87421,2.34846,"Private room",105,2,23,"1540569600",0.33,4,365
254467,"Perfect@Parc Buttes Chaumont Paris",328772,"Louise And Rodney",NA,"Buttes-Chaumont",48.87968,2.37878,"Entire home/apt",95,1,176,"1543075200",1.99,1,190
255958,"Nice and Trendy in the Marais",1345719,"Camille",NA,"Hôtel-de-Ville",48.85812,2.34965,"Entire home/apt",105,5,33,"1560960000",0.4,1,126
256643,"Lovely apt, rue Oberkampf Paris 11",1032884,"Daphne",NA,"Popincourt",48.86447,2.37561,"Entire home/apt",90,14,9,"1531929600",0.1,1,0
256758,"Lovely Flat Right in Paris Center",1347744,"Odile",NA,"Louvre",48.86513,2.33327,"Entire home/apt",150,1,3,"1412956800",0.04,1,160
259807,"DUPLEX 135m2, 3 BEDROOMS, COURTYARD",1363515,"Loic",NA,"Ménilmontant",48.87343,2.39022,"Entire home/apt",149,4,20,"1556726400",0.22,1,43
261875,"Paris Lovely flat Mouffetard Monge",1373780,"Isabelle",NA,"Panthéon",48.84275,2.35257,"Entire home/apt",120,4,28,"1538496000",0.3,1,315
262455,"Paris Apartment 2 Bedrooms Palais R",1377064,"Virginie",NA,"Louvre",48.86337,2.34137,"Entire home/apt",175,2,252,"1506009600",2.98,1,11
262557,"Joli studio 2 pièces à République",1353874,"Vincent",NA,"Entrepôt",48.87067,2.36195,"Entire home/apt",79,2,113,"1561132800",1.22,1,324
262778,"Artist Studio near Montmartre-Paris",1373350,"Diane",NA,"Entrepôt",48.88341,2.34997,"Entire home/apt",50,29,20,"1559404800",0.32,1,0
